transaction_id,user_id,merchant_id,channel,transaction_type,amount,currency,transaction_date,status,reference_id
TXN-20240101-14347,USR-001935,MCH-00164,web,pago,13488.51,CLP,01/01/2024,aprobado,
TXN-20240101-14166,USR-003460,MCH-00401,web,pago,13163.74,COP,2024-01-01,aprobado,
TXN-20240101-17484,USR-004215,MCH-00047,pos,retiro,1176.68,PEN,01/01/2024,aprobado,
TXN-20240101-08558,USR-003633,MCH-00271,pos,reversa,11484.82,MXN,01/01/2024,aprobado,TXN-20240101-07624
TXN-20240101-10742,USR-009883,MCH-00428,web,reversa,251.11,PEN,01/01/2024,aprobado,TXN-20240101-06293
TXN-20240101-08723,USR-008322,MCH-00200,APP,PAGO,7449.15,USD,01/01/2024,pendiente,
TXN-20240101-13064,USR-006302,MCH-00137,web,retiro,11698.44,USD,01/01/2024,pendiente,
TXN-20240101-17161,USR-000084,MCH-00064,web,pago,683.04,COP,2024-01-01,aprobado,
TXN-20240101-02527,USR-009396,MCH-00496,WEB,retiro,"5.482,68",PEN,2024-01-01,aprobado,
TXN-20240101-01036,USR-004116,MCH-00357,pos,reversa,6032.3,CLP,01/01/2024,aprobado,TXN-20240101-00871
TXN-20240101-10784,USR-006268,MCH-00049,web,pago,9533.82,ARS,01/01/2024,aprobado,
TXN-20240101-02241,USR-008216,MCH-00126,APP,pago,4921.23,COP,2024-01-01,aprobado,
TXN-20240101-07004,USR-001699,MCH-00118,pos,reversa,13904.54,COP,01/01/2024,aprobado,TXN-20240101-06458
TXN-20240101-17770,USR-008700,MCH-00121,app,pago,9701.7,PEN,2024-01-01,aprobado,
TXN-20240101-10341,USR-002126,MCH-00023,web,pago,3186.91,MXN,2024-01-01,APROBADO,
TXN-20240101-02802,USR-000750,MCH-00222,web,pago,9063.66,CLP,01/01/2024,aprobado,
TXN-20240101-14059,USR-000383,MCH-00011,app,pago,10806.89,ARS,2024-01-01,aprobado,
TXN-20240101-05963,USR-005118,MCH-00006,app,pago,11448.26,PEN,01/01/2024,aprobado,
TXN-20240101-08945,USR-007306,MCH-00422,web,pago,852.62,CLP,2024-01-01,aprobado,
TXN-20240101-11106,USR-004882,MCH-00450,Web,pago,606.74,USD,01/01/2024,pendiente,
TXN-20240101-07602,USR-004205,MCH-00188,web,pago,8783.56,COP,01/01/2024,aprobado,
