transaction_id,user_id,merchant_id,channel,transaction_type,amount,currency,transaction_date,status,reference_id
TXN-20240103-36531,USR-000244,MCH-00186,web,pago,10304.04,COP,03/01/2024,aprobado,
TXN-20240103-42627,USR-007051,MCH-00016,pos,pago,,MXN,2024-01-03,aprobado,
TXN-20240103-42626,USR-000391,MCH-00096,web,pago,5677.7,COP,03/01/2024,aprobado,
TXN-20240103-42419,USR-006650,MCH-00221,pos,pago,12310.71,,2024-01-03,null,
TXN-20240103-46750,USR-009842,MCH-00482,web,pago,11453.97,CLP,03/01/2024,aprobado,
TXN-20240103-38483,USR-008330,MCH-00389,web,pago,7914.62,SOL,2024-01-03,aprobado,
TXN-20240103-39606,USR-009976,MCH-00029,pos,pago,10756.17,ARS,03/01/2024,aprobado,
TXN-20240103-44138,USR-000808,MCH-00250,pos,pago,7985.12,COP,03/01/2024,aprobado,
TXN-20240103-48451,USR-000792,MCH-00414,pos,pago,7678.55,PEN,03/01/2024,aprobado,
TXN-20240103-37094,USR-004927,MCH-00260,kiosko,pago,2209.6,MXN,2024-01-03,aprobado,
TXN-20240103-46553,USR-000820,MCH-00214,web,pago,10461.86,COP,2024-01-03,aprobado,
TXN-20240103-37815,USR-006017,MCH-00216,web,pago,14107.9,PEN,2024-01-03,aprobado,
TXN-20240103-43540,USR-001173,MCH-00225,pos,pago,3610.32,USD,03/01/2024,pendiente,
TXN-20240103-46312,USR-000754,MCH-00023,pos,retiro,9084.76,CLP,2024-01-03,aprobado,
TXN-20240103-41885,USR-004215,MCH-00461,pos,pago,4672.5,MXN,03/01/2024,aprobado,
TXN-20240103-46948,USR-009611,MCH-00057,pos,pago,12856.21,,03/01/2024,rechazado,
TXN-20240103-44986,USR-000633,MCH-00112,pos,pago,"14.188,64",CLP,03/01/2024,null,
TXN-20240103-43043,USR-002177,MCH-00375,POS,pago,10964.86,PEN,03/01/2024,aprobado,
TXN-20240103-42575,USR-005429,MCH-00123,pos,retiro,"5.794,90",ARS,2024-01-03,aprobado,
TXN-20240103-43871,USR-006446,MCH-00380,app,pago,5070.58,PEN,2024-01-03,aprobado,
TXN-20240103-46961,USR-005119,MCH-00414,web,pago,837.7,PEN,03/01/2024,aprobado,
TXN-20240103-46116,USR-003296,MCH-00426,POS,pago,8272.97,MXN,2024-01-03,pendiente,
TXN-20240103-35175,USR-006508,MCH-00166,web,pago,7117.0,COP,03/01/2024,rechazado,
TXN-20240103-37822,USR-005102,MCH-00105,Web,pago,14189.99,CLP,03/01/2024,aprobado,
TXN-20240103-36105,USR-005648,MCH-00231,pos,pago,4359.8,USD,03/01/2024,aprobado,
TXN-20240103-42639,USR-001684,MCH-00470,web,reversa,3231.1,US$,2024-01-03,PROCESADO,TXN-20240103-11545
TXN-20240103-45318,USR-003955,MCH-00279,web,Pago,"12.765,59",PEN,2024-01-03,rechazado,
TXN-20240103-41296,USR-007703,MCH-00100,web,retiro,14193.06,CLP,03/01/2024,pendiente,
TXN-20240103-42981,USR-005082,MCH-00133,app,pago,9430.35,MXN,03/01/2024,pendiente,
TXN-20240103-36400,USR-003044,MCH-00237,app,pago,10357.25,US$,03/01/2024,aprobado,
TXN-20240103-49944,USR-004872,MCH-00481,web,pago,2542.25,PEN,2024-01-03,aprobado,
